0,0,0.221212
0,0,0.236866
-0.00644364,0.00568516,0.185207
-0.0388653,-0.0704958,0.0676426
0.00429294,-0.0849535,0.13529
-0.0287308,-0.0396425,0.153408
0,0,0.137209
-0.0503622,0.0443991,0.355601
-0.0572005,-0.0076879,0.399132
0.171012,0.0949253,0.352925
0,0,0.319977
0.00831236,-0.00194294,0.318114
0.0106461,-0.0109115,0.334314
0.0216646,0.0295858,0.360356
0,0,0.308146
-0.00551415,-0.00674401,0.339725
0.0605397,-0.0934087,0.370852
0.0466875,-0.0368666,0.366956
-0.028381,0.00554501,0.429314
0.0228576,-0.0405222,0.391812
0.0264286,-0.03544,0.492024
-0.0405813,0.0561181,0.565757
-0.0257489,-0.0283932,0.53717
0.012849,-0.0323788,0.573249
0.0130351,-0.0340651,0.590585
0.0122454,-0.0325945,0.720518
0.038474,-0.0258222,0.773594
0.0413186,-0.0275104,0.694216
0.0385012,-0.013464,0.712508
0.0368482,0.0250425,0.699828
0.0043659,0.0242451,1.0353
