x,d,v,p,e
0.000000,-nan,-nan,-nan,-nan
0.010101,-nan,-nan,-nan,-nan
0.020202,-nan,-nan,-nan,-nan
0.030303,-nan,-nan,-nan,-nan
0.040404,-nan,-nan,-nan,-nan
0.050505,-nan,-nan,-nan,-nan
0.060606,-nan,-nan,-nan,-nan
0.070707,-nan,-nan,-nan,-nan
0.080808,-nan,-nan,-nan,-nan
0.090909,-nan,-nan,-nan,-nan
0.101010,-nan,-nan,-nan,-nan
0.111111,-nan,-nan,-nan,-nan
0.121212,-nan,-nan,-nan,-nan
0.131313,-nan,-nan,-nan,-nan
0.141414,-nan,-nan,-nan,-nan
0.151515,-nan,-nan,-nan,-nan
0.161616,-nan,-nan,-nan,-nan
0.171717,-nan,-nan,-nan,-nan
0.181818,-nan,-nan,-nan,-nan
0.191919,-nan,-nan,-nan,-nan
0.202020,-nan,-nan,-nan,-nan
0.212121,-nan,-nan,-nan,-nan
0.222222,-nan,-nan,-nan,-nan
0.232323,-nan,-nan,-nan,-nan
0.242424,-nan,-nan,-nan,-nan
0.252525,-nan,-nan,-nan,-nan
0.262626,-nan,-nan,-nan,-nan
0.272727,-nan,-nan,-nan,-nan
0.282828,-nan,-nan,-nan,-nan
0.292929,-nan,-nan,-nan,-nan
0.303030,-nan,-nan,-nan,-nan
0.313131,-nan,-nan,-nan,-nan
0.323232,-nan,-nan,-nan,-nan
0.333333,-nan,-nan,-nan,-nan
0.343434,-nan,-nan,-nan,-nan
0.353535,-nan,-nan,-nan,-nan
0.363636,-nan,-nan,-nan,-nan
0.373737,-nan,-nan,-nan,-nan
0.383838,-nan,-nan,-nan,-nan
0.393939,-nan,-nan,-nan,-nan
0.404040,-nan,-nan,-nan,-nan
0.414141,-nan,-nan,-nan,-nan
0.424242,-nan,-nan,-nan,-nan
0.434343,-nan,-nan,-nan,-nan
0.444444,-nan,-nan,-nan,-nan
0.454545,-nan,-nan,-nan,-nan
0.464646,-nan,-nan,-nan,-nan
0.474747,-nan,-nan,-nan,-nan
0.484848,-nan,-nan,-nan,-nan
0.494949,-nan,-nan,-nan,-nan
0.505051,-nan,-nan,-nan,-nan
0.515152,-nan,-nan,-nan,-nan
0.525253,-nan,-nan,-nan,-nan
0.535354,-nan,-nan,-nan,-nan
0.545455,-nan,-nan,-nan,-nan
0.555556,-nan,-nan,-nan,-nan
0.565657,-nan,-nan,-nan,-nan
0.575758,-nan,-nan,-nan,-nan
0.585859,-nan,-nan,-nan,-nan
0.595960,-nan,-nan,-nan,-nan
0.606061,-nan,-nan,-nan,-nan
0.616162,-nan,-nan,-nan,-nan
0.626263,-nan,-nan,-nan,-nan
0.636364,-nan,-nan,-nan,-nan
0.646465,-nan,-nan,-nan,-nan
0.656566,-nan,-nan,-nan,-nan
0.666667,-nan,-nan,-nan,-nan
0.676768,-nan,-nan,-nan,-nan
0.686869,-nan,-nan,-nan,-nan
0.696970,-nan,-nan,-nan,-nan
0.707071,-nan,-nan,-nan,-nan
0.717172,-nan,-nan,-nan,-nan
0.727273,-nan,-nan,-nan,-nan
0.737374,-nan,-nan,-nan,-nan
0.747475,-nan,-nan,-nan,-nan
0.757576,-nan,-nan,-nan,-nan
0.767677,-nan,-nan,-nan,-nan
0.777778,-nan,-nan,-nan,-nan
0.787879,-nan,-nan,-nan,-nan
0.797980,-nan,-nan,-nan,-nan
0.808081,-nan,-nan,-nan,-nan
0.818182,-nan,-nan,-nan,-nan
0.828283,-nan,-nan,-nan,-nan
0.838384,-nan,-nan,-nan,-nan
0.848485,-nan,-nan,-nan,-nan
0.858586,-nan,-nan,-nan,-nan
0.868687,-nan,-nan,-nan,-nan
0.878788,-nan,-nan,-nan,-nan
0.888889,-nan,-nan,-nan,-nan
0.898990,-nan,-nan,-nan,-nan
0.909091,-nan,-nan,-nan,-nan
0.919192,-nan,-nan,-nan,-nan
0.929293,-nan,-nan,-nan,-nan
0.939394,-nan,-nan,-nan,-nan
0.949495,-nan,-nan,-nan,-nan
0.959596,-nan,-nan,-nan,-nan
0.969697,-nan,-nan,-nan,-nan
0.979798,-nan,-nan,-nan,-nan
0.989899,-nan,-nan,-nan,-nan
1.000000,-nan,-nan,-nan,-nan
