RF  (MHz),P_IF  (mW)
1430.000,3.28E-05
1429.950,3.26E-05
1429.900,3.28E-05
1429.850,3.26E-05
1429.800,3.29E-05
1429.751,3.34E-05
1429.701,3.26E-05
1429.651,3.34E-05
1429.601,3.30E-05
1429.551,3.32E-05
1429.501,3.29E-05
1429.451,3.33E-05
1429.401,3.31E-05
1429.352,3.33E-05
1429.302,3.35E-05
1429.252,3.32E-05
1429.202,3.32E-05
1429.152,3.39E-05
1429.102,3.39E-05
1429.052,3.42E-05
1429.002,3.38E-05
1428.953,3.39E-05
1428.903,3.36E-05
1428.853,3.40E-05
1428.803,3.42E-05
1428.753,3.41E-05
1428.703,3.45E-05
1428.653,3.41E-05
1428.603,3.45E-05
1428.554,3.47E-05
1428.504,3.42E-05
1428.454,3.42E-05
1428.404,3.46E-05
1428.354,3.49E-05
1428.304,3.50E-05
1428.254,3.50E-05
1428.204,3.50E-05
1428.155,3.55E-05
1428.105,3.67E-05
1428.055,3.71E-05
1428.005,3.76E-05
1427.955,3.73E-05
1427.905,3.76E-05
1427.855,3.82E-05
1427.805,3.70E-05
1427.756,3.57E-05
1427.706,3.53E-05
1427.656,3.47E-05
1427.606,3.47E-05
1427.556,3.58E-05
1427.506,3.51E-05
1427.456,3.51E-05
1427.406,3.57E-05
1427.357,3.54E-05
1427.307,3.62E-05
1427.257,3.56E-05
1427.207,3.52E-05
1427.157,3.56E-05
1427.107,3.57E-05
1427.057,3.54E-05
1427.007,3.54E-05
1426.958,3.54E-05
1426.908,3.54E-05
1426.858,3.56E-05
1426.808,3.59E-05
1426.758,3.57E-05
1426.708,3.56E-05
1426.658,3.59E-05
1426.608,3.54E-05
1426.559,3.58E-05
1426.509,3.59E-05
1426.459,3.59E-05
1426.409,3.58E-05
1426.359,3.58E-05
1426.309,3.55E-05
1426.259,3.61E-05
1426.209,3.58E-05
1426.160,3.60E-05
1426.110,3.62E-05
1426.060,3.60E-05
1426.010,3.57E-05
1425.960,3.59E-05
1425.910,3.57E-05
1425.860,3.57E-05
1425.810,3.57E-05
1425.761,3.59E-05
1425.711,3.57E-05
1425.661,3.62E-05
1425.611,3.55E-05
1425.561,3.56E-05
1425.511,3.61E-05
1425.461,3.55E-05
1425.411,3.56E-05
1425.362,3.62E-05
1425.312,3.55E-05
1425.262,3.56E-05
1425.212,3.57E-05
1425.162,3.57E-05
1425.112,3.57E-05
1425.062,3.63E-05
1425.012,3.62E-05
1424.963,3.59E-05
1424.913,3.57E-05
1424.863,3.59E-05
1424.813,3.63E-05
1424.763,3.56E-05
1424.713,3.55E-05
1424.663,3.56E-05
1424.613,3.53E-05
1424.564,3.51E-05
1424.514,3.58E-05
1424.464,3.53E-05
1424.414,3.53E-05
1424.364,3.55E-05
1424.314,3.53E-05
1424.264,3.54E-05
1424.214,3.50E-05
1424.165,3.51E-05
1424.115,3.54E-05
1424.065,3.51E-05
1424.015,3.51E-05
1423.965,3.49E-05
1423.915,3.54E-05
1423.865,3.51E-05
1423.815,3.50E-05
1423.766,3.52E-05
1423.716,3.48E-05
1423.666,3.51E-05
1423.616,3.49E-05
1423.566,3.50E-05
1423.516,3.49E-05
1423.466,3.49E-05
